"STATION","NAME","DATE","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT06","WT08"
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-06-10","1.12","0.01","0.0","0.0",,"73","58","   80","  100","8.9","16.1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-06-11","3.13","0.00","0.0","0.0",,"73","58","  150","  170","8.9","17.0",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-06-12","3.36","0.00","0.0","0.0",,"75","57","  190","  160","10.1","19.0",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-06-13","3.58","0.04","0.0","0.0",,"78","63","  260","  260","12.1","18.1","    1",,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-06-14","6.93","0.00","0.0","0.0",,"84","67","  300","  290","15.0","27.1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-06-15","3.13","0.00","0.0","0.0",,"76","63","  300","  290","13.0","19.9",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-06-16","2.24","0.00","0.0","0.0",,"85","64","  290","  280","8.1","12.1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-06-17","1.79","0.00","0.0","0.0",,"91","66","  240","  250","8.9","17.0",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-06-18","5.59","0.08","0.0","0.0",,"91","73","  240","  260","14.1","23.9","    1",,"    1",,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-06-19","3.80","0.07","0.0","0.0",,"88","75","   40","  240","12.1","19.9","    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-06-20","1.57","0.09","0.0","0.0",,"83","69","  170","  160","8.1","14.1","    1",,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-06-21","2.01","0.59","0.0","0.0",,"83","65","   10","   20","8.1","14.1","    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-06-22","4.70","0.10","0.0","0.0",,"75","62","  140","   70","10.1","16.1","    1",,,,
